      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.377       97     N    0    0    0
    0:01.241      319     N    0    0    0
    0:01.837      472     V    0    0    0
    0:02.926      752     N    0    0    0
    0:03.767      968     N    0    0    0
    0:04.580     1177     N    0    0    0
    0:05.389     1385     N    0    0    0
    0:06.214     1597     N    0    0    0
    0:07.082     1820     N    0    0    0
    0:07.973     2049     N    0    0    0
    0:08.856     2276     N    0    0    0
    0:09.751     2506     N    0    0    0
    0:10.669     2742     N    0    0    0
    0:11.599     2981     N    0    0    0
    0:12.525     3219     N    0    0    0
    0:13.459     3459     N    0    0    0
    0:14.385     3697     N    0    0    0
    0:15.292     3930     N    0    0    0
    0:16.187     4160     N    0    0    0
    0:17.066     4386     N    0    0    0
    0:17.942     4611     N    0    0    0
    0:18.588     4777     V    0    0    0
    0:19.615     5041     N    0    0    0
    0:20.447     5255     N    0    0    0
    0:21.280     5469     N    0    0    0
    0:22.117     5684     N    0    0    0
    0:22.946     5897     N    0    0    0
    0:23.704     6092     V    0    0    0
    0:24.420     6276     V    0    0    0
    0:25.148     6463     V    0    0    0
    0:25.821     6636     V    0    0    0
    0:27.140     6975     N    0    0    0
    0:27.969     7188     N    0    0    0
    0:28.790     7399     N    0    0    0
    0:29.576     7601     N    0    0    0
    0:30.362     7803     N    0    0    0
    0:31.132     8001     N    0    0    0
    0:31.817     8177     N    0    0    0
    0:32.479     8347     N    0    0    0
    0:33.304     8559     N    0    0    0
    0:34.035     8747     N    0    0    0
    0:34.650     8905     S    0    0    0
    0:35.463     9114     N    0    0    0
    0:36.175     9297     N    0    0    0
    0:36.879     9478     N    0    0    0
    0:37.576     9657     N    0    0    0
    0:38.276     9837     N    0    0    0
    0:38.984    10019     N    0    0    0
    0:39.685    10199     N    0    0    0
    0:40.362    10373     N    0    0    0
    0:41.062    10553     N    0    0    0
    0:41.755    10731     N    0    0    0
    0:42.440    10907     N    0    0    0
    0:43.117    11081     N    0    0    0
    0:43.805    11258     N    0    0    0
    0:44.502    11437     N    0    0    0
    0:45.198    11616     N    0    0    0
    0:45.895    11795     N    0    0    0
    0:46.634    11985     N    0    0    0
    0:47.514    12211     N    0    0    0
    0:48.307    12415     N    0    0    0
    0:49.117    12623     N    0    0    0
    0:49.984    12846     N    0    0    0
    0:50.829    13063     N    0    0    0
    0:51.681    13282     N    0    0    0
    0:52.607    13520     N    0    0    0
    0:53.568    13767     N    0    0    0
    0:54.482    14002     N    0    0    0
    0:55.467    14255     N    0    0    0
    0:56.471    14513     N    0    0    0
    0:57.479    14772     N    0    0    0
    0:58.424    15015     N    0    0    0
    0:59.335    15249     V    0    0    0
    1:00.346    15509     N    0    0    0
    1:01.265    15745     N    0    0    0
    1:02.163    15976     N    0    0    0
    1:03.070    16209     N    0    0    0
    1:04.004    16449     N    0    0    0
    1:04.949    16692     N    0    0    0
    1:05.891    16934     N    0    0    0
    1:06.817    17172     N    0    0    0
    1:07.767    17416     N    0    0    0
    1:08.735    17665     N    0    0    0
    1:09.712    17916     N    0    0    0
    1:10.654    18158     N    0    0    0
    1:11.619    18406     N    0    0    0
    1:12.588    18655     N    0    0    0
    1:13.549    18902     N    0    0    0
    1:14.482    19142     N    0    0    0
    1:15.405    19379     N    0    0    0
    1:16.323    19615     N    0    0    0
    1:17.249    19853     N    0    0    0
    1:18.160    20087     N    0    0    0
    1:19.051    20316     N    0    0    0
    1:19.957    20549     N    0    0    0
    1:20.872    20784     N    0    0    0
    1:21.767    21014     N    0    0    0
    1:22.642    21239     N    0    0    0
    1:23.537    21469     N    0    0    0
    1:24.424    21697     N    0    0    0
    1:25.307    21924     N    0    0    0
    1:26.171    22146     N    0    0    0
    1:27.035    22368     N    0    0    0
    1:27.907    22592     N    0    0    0
    1:28.786    22818     N    0    0    0
    1:29.650    23040     N    0    0    0
    1:30.518    23263     N    0    0    0
    1:31.412    23493     N    0    0    0
    1:32.074    23663     V    0    0    0
    1:33.222    23958     N    0    0    0
    1:34.086    24180     N    0    0    0
    1:34.965    24406     N    0    0    0
    1:35.844    24632     N    0    0    0
    1:36.735    24861     N    0    0    0
    1:37.607    25085     N    0    0    0
    1:38.475    25308     N    0    0    0
    1:39.366    25537     N    0    0    0
    1:40.261    25767     N    0    0    0
    1:41.152    25996     N    0    0    0
    1:42.027    26221     N    0    0    0
    1:42.934    26454     N    0    0    0
    1:43.844    26688     N    0    0    0
    1:44.759    26923     N    0    0    0
    1:45.661    27155     N    0    0    0
    1:46.549    27383     N    0    0    0
    1:47.451    27615     N    0    0    0
    1:48.354    27847     N    0    0    0
    1:49.241    28075     N    0    0    0
    1:49.996    28269     V    0    0    0
    1:50.973    28520     N    0    0    0
    1:51.844    28744     N    0    0    0
    1:52.724    28970     N    0    0    0
    1:53.591    29193     N    0    0    0
    1:54.459    29416     N    0    0    0
    1:55.346    29644     N    0    0    0
    1:55.981    29807     V    0    0    0
    1:57.171    30113     N    0    0    0
    1:58.062    30342     N    0    0    0
    1:58.938    30567     N    0    0    0
    1:59.829    30796     N    0    0    0
    2:00.712    31023     N    0    0    0
    2:01.588    31248     N    0    0    0
    2:02.455    31471     N    0    0    0
    2:03.342    31699     N    0    0    0
    2:04.230    31927     N    0    0    0
    2:05.113    32154     N    0    0    0
    2:05.977    32376     N    0    0    0
    2:06.837    32597     N    0    0    0
    2:07.704    32820     N    0    0    0
    2:08.556    33039     N    0    0    0
    2:09.385    33252     N    0    0    0
    2:10.179    33456     N    0    0    0
    2:10.883    33637     N    0    0    0
    2:11.708    33849     N    0    0    0
    2:12.506    34054     N    0    0    0
    2:13.268    34250     N    0    0    0
    2:14.023    34444     N    0    0    0
    2:14.767    34635     N    0    0    0
    2:15.537    34833     N    0    0    0
