      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.047       12     N    0    0    0
    0:00.957      246     N    0    0    0
    0:01.961      504     N    0    0    0
    0:03.035      780     N    0    0    0
    0:04.043     1039     N    0    0    0
    0:05.117     1315     N    0    0    0
    0:05.642     1450     V    0    0    0
    0:06.981     1794     N    0    0    0
    0:07.486     1924     V    0    0    0
    0:08.739     2246     N    0    0    0
    0:09.615     2471     N    0    0    0
    0:10.541     2709     N    0    0    0
    0:11.529     2963     N    0    0    0
    0:12.638     3248     N    0    0    0
    0:13.136     3376     V    0    0    0
    0:13.556     3484     V    0    0    0
    0:14.603     3753     N    0    0    0
    0:15.802     4061     N    0    0    0
    0:17.039     4379     N    0    0    0
    0:18.183     4673     N    0    0    0
    0:19.339     4970     N    0    0    0
    0:19.844     5100     V    0    0    0
    0:21.230     5456     N    0    0    0
    0:22.265     5722     N    0    0    0
    0:23.366     6005     N    0    0    0
    0:23.856     6131     V    0    0    0
    0:25.284     6498     N    0    0    0
    0:26.342     6770     N    0    0    0
    0:27.424     7048     N    0    0    0
    0:27.930     7178     V    0    0    0
    0:29.389     7553     N    0    0    0
    0:30.556     7853     N    0    0    0
    0:31.058     7982     V    0    0    0
    0:32.463     8343     N    0    0    0
    0:33.580     8630     N    0    0    0
    0:34.611     8895     N    0    0    0
    0:35.615     9153     N    0    0    0
    0:36.140     9288     V    0    0    0
    0:37.518     9642     N    0    0    0
    0:38.467     9886     N    0    0    0
    0:38.981    10018     V    0    0    0
    0:40.339    10367     N    0    0    0
    0:41.245    10600     N    0    0    0
    0:42.276    10865     N    0    0    0
    0:42.798    10999     V    0    0    0
    0:44.226    11366     N    0    0    0
    0:45.327    11649     N    0    0    0
    0:45.825    11777     V    0    0    0
    0:47.206    12132     N    0    0    0
    0:48.218    12392     N    0    0    0
    0:49.152    12632     N    0    0    0
    0:49.661    12763     V    0    0    0
    0:51.012    13110     N    0    0    0
    0:51.918    13343     N    0    0    0
    0:53.074    13640     N    0    0    0
    0:53.584    13771     V    0    0    0
    0:54.004    13879     V    0    0    0
    0:54.981    14130     N    0    0    0
    0:55.922    14372     N    0    0    0
    0:56.412    14498     V    0    0    0
    0:57.763    14845     N    0    0    0
    0:58.813    15115     N    0    0    0
    0:59.335    15249     V    0    0    0
    1:00.689    15597     N    0    0    0
    1:01.790    15880     N    0    0    0
    1:02.276    16005     V    0    0    0
    1:03.584    16341     N    0    0    0
    1:04.428    16558     N    0    0    0
    1:05.370    16800     N    0    0    0
    1:05.879    16931     V    0    0    0
    1:07.268    17288     N    0    0    0
    1:08.265    17544     N    0    0    0
    1:08.763    17672     V    0    0    0
    1:10.167    18033     N    0    0    0
    1:11.315    18328     N    0    0    0
    1:11.817    18457     V    0    0    0
    1:13.187    18809     N    0    0    0
    1:14.031    19026     N    0    0    0
    1:14.922    19255     N    0    0    0
    1:15.463    19394     V    0    0    0
    1:16.805    19739     N    0    0    0
    1:17.669    19961     N    0    0    0
    1:18.529    20182     N    0    0    0
    1:19.039    20313     V    0    0    0
    1:20.331    20645     N    0    0    0
    1:21.206    20870     N    0    0    0
    1:22.405    21178     N    0    0    0
    1:22.914    21309     V    0    0    0
    1:24.307    21667     N    0    0    0
    1:25.335    21931     N    0    0    0
    1:25.840    22061     V    0    0    0
    1:27.218    22415     N    0    0    0
    1:28.179    22662     N    0    0    0
    1:29.167    22916     N    0    0    0
    1:29.673    23046     V    0    0    0
    1:31.043    23398     N    0    0    0
    1:32.082    23665     N    0    0    0
    1:32.584    23794     V    0    0    0
    1:33.946    24144     N    0    0    0
    1:35.051    24428     N    0    0    0
    1:35.545    24555     V    0    0    0
    1:36.922    24909     N    0    0    0
    1:38.023    25192     N    0    0    0
    1:38.518    25319     V    0    0    0
    1:39.914    25678     N    0    0    0
    1:41.008    25959     N    0    0    0
    1:41.490    26083     V    0    0    0
    1:42.864    26436     N    0    0    0
    1:43.914    26706     N    0    0    0
    1:44.397    26830     V    0    0    0
    1:45.767    27182     N    0    0    0
    1:46.319    27324     V    0    0    0
    1:47.634    27662     N    0    0    0
    1:48.533    27893     N    0    0    0
    1:49.039    28023     V    0    0    0
    1:50.405    28374     N    0    0    0
    1:51.428    28637     N    0    0    0
    1:51.949    28771     V    0    0    0
    1:53.358    29133     N    0    0    0
    1:54.319    29380     N    0    0    0
    1:54.840    29514     V    0    0    0
    1:56.214    29867     N    0    0    0
    1:57.160    30110     N    0    0    0
    1:57.669    30241     V    0    0    0
    1:59.070    30601     N    0    0    0
    2:00.175    30885     N    0    0    0
    2:00.677    31014     V    0    0    0
    2:02.074    31373     N    0    0    0
    2:03.093    31635     N    0    0    0
    2:03.599    31765     V    0    0    0
    2:04.953    32113     N    0    0    0
    2:05.770    32323     N    0    0    0
    2:06.646    32548     N    0    0    0
    2:07.195    32689     V    0    0    0
    2:08.525    33031     N    0    0    0
    2:09.447    33268     N    0    0    0
    2:10.591    33562     N    0    0    0
    2:11.113    33696     V    0    0    0
    2:11.545    33807     V    0    0    0
    2:12.459    34042     N    0    0    0
    2:13.479    34304     N    0    0    0
    2:14.494    34565     N    0    0    0
    2:15.619    34854     N    0    0    0
    2:16.798    35157     N    0    0    0
    2:17.926    35447     N    0    0    0
    2:19.097    35748     N    0    0    0
    2:20.288    36054     N    0    0    0
