      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.634      163     N    0    0    0
    0:01.342      345     N    0    0    0
    0:01.864      479     V    0    0    0
    0:02.879      740     N    0    0    0
    0:03.553      913     N    0    0    0
    0:04.191     1077     N    0    0    0
    0:04.720     1213     V    0    0    0
    0:05.545     1425     N    0    0    0
    0:06.183     1589     N    0    0    0
    0:06.813     1751     N    0    0    0
    0:07.354     1890     V    0    0    0
    0:08.206     2109     N    0    0    0
    0:08.864     2278     N    0    0    0
    0:09.545     2453     N    0    0    0
    0:10.132     2604     V    0    0    0
    0:10.965     2818     N    0    0    0
    0:11.642     2992     N    0    0    0
    0:12.342     3172     N    0    0    0
    0:12.825     3296     V    0    0    0
    0:13.743     3532     N    0    0    0
    0:14.393     3699     N    0    0    0
    0:15.016     3859     N    0    0    0
    0:15.630     4017     N    0    0    0
    0:16.070     4130     V    0    0    0
    0:16.856     4332     N    0    0    0
    0:17.459     4487     N    0    0    0
    0:18.093     4650     N    0    0    0
    0:18.646     4792     V    0    0    0
    0:19.405     4987     N    0    0    0
    0:20.035     5149     N    0    0    0
    0:20.693     5318     N    0    0    0
    0:21.218     5453     V    0    0    0
    0:22.097     5679     N    0    0    0
    0:22.770     5852     N    0    0    0
    0:23.451     6027     N    0    0    0
    0:24.089     6191     N    0    0    0
    0:24.479     6291     V    0    0    0
    0:25.405     6529     N    0    0    0
    0:26.039     6692     N    0    0    0
    0:26.677     6856     N    0    0    0
    0:27.183     6986     V    0    0    0
    0:27.911     7173     N    0    0    0
    0:28.510     7327     N    0    0    0
    0:29.132     7487     N    0    0    0
    0:29.665     7624     V    0    0    0
    0:30.405     7814     N    0    0    0
    0:30.996     7966     N    0    0    0
    0:31.603     8122     N    0    0    0
    0:32.175     8269     V    0    0    0
    0:32.821     8435     N    0    0    0
    0:33.405     8585     N    0    0    0
    0:34.016     8742     N    0    0    0
    0:34.677     8912     N    0    0    0
    0:35.335     9081     N    0    0    0
    0:36.008     9254     N    0    0    0
    0:36.661     9422     N    0    0    0
    0:37.300     9586     N    0    0    0
    0:37.930     9748     N    0    0    0
    0:38.541     9905     N    0    0    0
    0:39.140    10059     N    0    0    0
    0:39.720    10208     N    0    0    0
    0:40.304    10358     N    0    0    0
    0:40.895    10510     N    0    0    0
    0:41.416    10644     V    0    0    0
    0:42.152    10833     N    0    0    0
    0:42.751    10987     N    0    0    0
    0:43.362    11144     N    0    0    0
    0:43.856    11271     V    0    0    0
    0:44.525    11443     N    0    0    0
    0:45.086    11587     N    0    0    0
    0:45.642    11730     N    0    0    0
    0:46.214    11877     N    0    0    0
    0:46.875    12047     N    0    0    0
    0:47.580    12228     N    0    0    0
    0:48.300    12413     N    0    0    0
    0:49.066    12610     N    0    0    0
    0:49.584    12743     V    0    0    0
    0:50.568    12996     N    0    0    0
