i-5	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	i+5	Filter
568	821	837	828	814	564	1000	879	880	856	832	1
821	837	828	814	564	1000	879	880	856	832	837	0
837	828	814	564	1000	879	880	856	832	837	840	0
828	814	564	1000	879	880	856	832	837	840	1522	0
814	564	1000	879	880	856	832	837	840	1522	887	0
564	1000	879	880	856	832	837	840	1522	887	844	0
1000	879	880	856	832	837	840	1522	887	844	817	0
879	880	856	832	837	840	1522	887	844	817	794	0
880	856	832	837	840	1522	887	844	817	794	817	0
856	832	837	840	1522	887	844	817	794	817	810	0
832	837	840	1522	887	844	817	794	817	810	809	0
837	840	1522	887	844	817	794	817	810	809	603	0
840	1522	887	844	817	794	817	810	809	603	627	0
1522	887	844	817	794	817	810	809	603	627	871	0
887	844	817	794	817	810	809	603	627	871	848	0
844	817	794	817	810	809	603	627	871	848	856	0
817	794	817	810	809	603	627	871	848	856	837	1
794	817	810	809	603	627	871	848	856	837	825	1
817	810	809	603	627	871	848	856	837	825	802	0
810	809	603	627	871	848	856	837	825	802	801	0
809	603	627	871	848	856	837	825	802	801	794	0
603	627	871	848	856	837	825	802	801	794	809	0
627	871	848	856	837	825	802	801	794	809	810	0
871	848	856	837	825	802	801	794	809	810	801	0
848	856	837	825	802	801	794	809	810	801	825	0
856	837	825	802	801	794	809	810	801	825	821	0
837	825	802	801	794	809	810	801	825	821	802	0
825	802	801	794	809	810	801	825	821	802	817	0
802	801	794	809	810	801	825	821	802	817	805	0
801	794	809	810	801	825	821	802	817	805	599	0
794	809	810	801	825	821	802	817	805	599	786	0
809	810	801	825	821	802	817	805	599	786	923	0
810	801	825	821	802	817	805	599	786	923	789	0
801	825	821	802	817	805	599	786	923	789	779	0
825	821	802	817	805	599	786	923	789	779	782	1
821	802	817	805	599	786	923	789	779	782	786	0
802	817	805	599	786	923	789	779	782	786	774	0
817	805	599	786	923	789	779	782	786	774	778	0
805	599	786	923	789	779	782	786	774	778	743	0
599	786	923	789	779	782	786	774	778	743	736	0
786	923	789	779	782	786	774	778	743	736	720	0
923	789	779	782	786	774	778	743	736	720	716	0
789	779	782	786	774	778	743	736	720	716	735	0
779	782	786	774	778	743	736	720	716	735	751	0
782	786	774	778	743	736	720	716	735	751	763	0
786	774	778	743	736	720	716	735	751	763	782	0
774	778	743	736	720	716	735	751	763	782	790	0
778	743	736	720	716	735	751	763	782	790	786	0
743	736	720	716	735	751	763	782	790	786	809	0
736	720	716	735	751	763	782	790	786	809	821	0
720	716	735	751	763	782	790	786	809	821	809	0
716	735	751	763	782	790	786	809	821	809	821	0
735	751	763	782	790	786	809	821	809	821	829	0
751	763	782	790	786	809	821	809	821	829	817	0
763	782	790	786	809	821	809	821	829	817	852	0
782	790	786	809	821	809	821	829	817	852	853	0
790	786	809	821	809	821	829	817	852	853	836	0
786	809	821	809	821	829	817	852	853	836	856	0
809	821	809	821	829	817	852	853	836	856	833	0
821	809	821	829	817	852	853	836	856	833	848	0
809	821	829	817	852	853	836	856	833	848	860	0
821	829	817	852	853	836	856	833	848	860	844	0
829	817	852	853	836	856	833	848	860	844	849	0
817	852	853	836	856	833	848	860	844	849	856	0
852	853	836	856	833	848	860	844	849	856	856	0
853	836	856	833	848	860	844	849	856	856	832	0
