i-1	i+0	i+1	Filter
43	685	801	0
685	801	848	0
801	848	868	0
848	868	876	0
868	876	906	0
876	906	922	0
906	922	872	0
922	872	872	0
872	872	902	0
872	902	887	0
902	887	853	0
887	853	856	0
853	856	879	0
856	879	876	0
879	876	848	0
876	848	856	0
848	856	871	0
856	871	849	0
871	849	860	0
849	860	883	0
860	883	899	0
883	899	867	0
899	867	856	0
867	856	833	0
856	833	825	0
833	825	829	0
825	829	844	0
829	844	876	0
844	876	992	0
876	992	1082	0
992	1082	1093	0
1082	1093	1070	0
1093	1070	1012	0
1070	1012	1015	0
1012	1015	1020	0
1015	1020	972	0
1020	972	969	0
972	969	977	0
969	977	965	0
977	965	965	0
965	965	996	0
965	996	996	0
996	996	930	0
996	930	918	0
930	918	915	0
918	915	891	0
915	891	906	0
891	906	934	0
906	934	950	0
934	950	918	0
950	918	949	0
918	949	1004	0
949	1004	930	0
1004	930	895	0
930	895	883	0
895	883	829	0
883	829	852	0
829	852	829	0
852	829	813	0
829	813	818	0
813	818	856	0
818	856	887	0
856	887	887	0
887	887	938	0
887	938	1004	0
938	1004	988	0
1004	988	957	0
988	957	938	0
957	938	930	0
938	930	895	0
930	895	918	0
895	918	942	0
918	942	902	0
942	902	880	0
902	880	895	0
880	895	1015	0
895	1015	1125	0
1015	1125	1085	0
1125	1085	1067	0
1085	1067	1035	0
1067	1035	1000	0
1035	1000	1003	0
1000	1003	993	0
1003	993	965	0
993	965	941	0
965	941	981	0
941	981	976	0
981	976	954	0
976	954	988	0
954	988	973	0
988	973	992	0
973	992	973	0
992	973	957	0
973	957	953	0
957	953	895	0
953	895	922	0
895	922	977	0
922	977	965	0
977	965	969	0
965	969	988	0
969	988	1000	0
988	1000	957	0
1000	957	969	0
957	969	985	0
969	985	949	0
985	949	907	0
949	907	934	0
907	934	914	0
934	914	876	0
914	876	856	0
876	856	898	0
856	898	927	0
898	927	937	0
927	937	919	0
937	919	1144	0
919	1144	1093	0
1144	1093	1093	0
1093	1093	1117	0
1093	1117	1121	0
1117	1121	1132	0
1121	1132	1124	0
1132	1124	1074	0
1124	1074	1024	0
1074	1024	1058	0
1024	1058	1043	0
1058	1043	1008	0
1043	1008	1027	0
1008	1027	1023	0
1027	1023	1004	0
1023	1004	1039	0
1004	1039	1035	0
1039	1035	1035	0
1035	1035	1055	0
1035	1055	1101	0
1055	1101	1105	0
1101	1105	1101	0
1105	1101	1109	0
1101	1109	1117	0
1109	1117	1112	0
1117	1112	1109	0
1112	1109	1074	0
1109	1074	1117	0
1074	1117	1171	0
1117	1171	1203	0
1171	1203	1229	0
1203	1229	1273	0
1229	1273	1272	0
1273	1272	1342	0
1272	1342	1362	0
1342	1362	1378	0
1362	1378	1385	0
1378	1385	1373	0
1385	1373	1390	0
1373	1390	1396	0
1390	1396	1362	0
1396	1362	1401	0
1362	1401	1350	0
1401	1350	1300	0
1350	1300	1237	0
1300	1237	1222	0
1237	1222	1265	0
1222	1265	1264	0
1265	1264	1311	0
1264	1311	1327	0
1311	1327	1249	0
1327	1249	1284	0
1249	1284	1292	0
1284	1292	1358	0
1292	1358	1335	0
1358	1335	1311	0
1335	1311	1335	0
1311	1335	1327	0
1335	1327	1338	0
1327	1338	1346	0
1338	1346	1335	0
1346	1335	1335	0
1335	1335	1346	0
1335	1346	805	0
1346	805	1475	1
805	1475	1257	0
1475	1257	1268	0
1257	1268	1284	0
1268	1284	1347	0
1284	1347	1338	0
1347	1338	1347	0
1338	1347	1346	0
1347	1346	1377	0
1346	1377	1382	0
1377	1382	1377	0
1382	1377	1385	0
1377	1385	1358	0
1385	1358	1413	0
1358	1413	1377	0
1413	1377	693	0
1377	693	1969	1
693	1969	1369	0
1969	1369	1413	0
1369	1413	1373	0
1413	1373	1452	0
1373	1452	1525	0
1452	1525	1467	0
1525	1467	1572	0
1467	1572	1564	0
