i-1	i+0	i+1	Filter
253	934	513	0
934	513	1284	1
513	1284	930	0
1284	930	506	0
930	506	1308	1
506	1308	930	0
1308	930	509	0
930	509	1331	1
509	1331	918	0
1331	918	506	0
918	506	1315	1
506	1315	930	0
1315	930	510	0
930	510	1261	1
510	1261	902	0
1261	902	510	0
902	510	1234	1
510	1234	887	0
1234	887	529	0
887	529	1226	1
529	1226	875	0
1226	875	522	0
875	522	1214	1
522	1214	879	0
1214	879	541	0
879	541	1241	1
541	1241	879	0
1241	879	522	0
879	522	1292	1
522	1292	926	0
1292	926	517	0
926	517	1308	1
517	1308	961	0
1308	961	509	0
961	509	1339	1
509	1339	949	0
1339	949	506	0
949	506	1331	1
506	1331	938	0
1331	938	513	0
938	513	1312	1
513	1312	902	0
1312	902	514	0
902	514	1315	1
514	1315	938	0
1315	938	506	0
938	506	1288	1
506	1288	930	0
1288	930	513	0
930	513	1292	1
513	1292	914	0
1292	914	499	0
914	499	1276	1
499	1276	902	0
1276	902	514	0
902	514	1187	1
514	1187	801	0
1187	801	545	0
801	545	1066	1
545	1066	806	0
1066	806	844	0
806	844	903	0
844	903	945	0
903	945	888	0
945	888	568	0
888	568	1288	1
568	1288	933	0
1288	933	522	0
933	522	1346	1
522	1346	977	0
1346	977	506	0
977	506	1377	1
506	1377	973	0
1377	973	502	0
973	502	1373	1
502	1373	954	0
1373	954	498	0
954	498	1385	1
498	1385	938	0
1385	938	498	0
938	498	1369	1
498	1369	926	0
1369	926	502	0
926	502	1304	1
502	1304	910	0
1304	910	510	0
910	510	1253	1
510	1253	895	0
1253	895	510	0
895	510	1276	1
510	1276	910	0
1276	910	510	0
910	510	1308	1
510	1308	933	0
1308	933	506	0
933	506	1304	1
506	1304	875	0
1304	875	518	0
875	518	1179	1
518	1179	836	0
1179	836	541	0
836	541	1276	1
541	1276	880	0
1276	880	537	0
880	537	1257	1
537	1257	887	0
1257	887	517	0
887	517	1273	1
517	1273	910	0
1273	910	529	0
910	529	1284	1
529	1284	930	0
1284	930	506	0
930	506	1346	1
506	1346	950	0
1346	950	502	0
950	502	1354	1
502	1354	953	0
1354	953	502	0
953	502	1339	1
502	1339	941	0
1339	941	502	0
941	502	1288	1
502	1288	907	0
1288	907	517	0
907	517	1273	1
517	1273	910	0
1273	910	502	0
910	502	1284	1
502	1284	876	0
1284	876	521	0
876	521	1237	1
521	1237	903	0
1237	903	518	0
903	518	1264	1
518	1264	915	0
1264	915	521	0
915	521	1300	1
521	1300	910	0
1300	910	514	0
910	514	1315	1
514	1315	926	0
1315	926	498	0
926	498	1335	1
498	1335	949	0
1335	949	506	0
949	506	1346	1
506	1346	915	0
1346	915	509	0
915	509	1327	1
509	1327	934	0
1327	934	510	0
934	510	1288	1
510	1288	926	0
1288	926	498	0
926	498	1288	1
498	1288	914	0
1288	914	514	0
914	514	1288	1
514	1288	926	0
1288	926	517	0
